id,copy_version,copy_sha256,strategy_selected,fact_review,asset_approval,approver,approved_at,footage,visual,route_test,publication_authority,published_url
LC-V4-D18,V4.0.0,61bf04f9de313eea2b373b8e54b85c1af836f83c7eb35d9bfa8e9bf877348343,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Copy only,Not run,Not granted,
LC-V4-D19,V4.0.0,ee28b55e812b977083f05eab0c553838dcc32c1273e22d41703fcb4beb6c3adf,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Copy only,Not applicable,Not granted,
LC-V4-D20,V4.0.0,13fe0687e72b940bcdfec847034e9167623f4de272a70fa3d115ce3e6d19dc27,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Copy only,Not run,Not granted,
LC-V4-D21,V4.0.0,952e217ee5660b11076d780da1935cbc195bdd0bc940b9493774237a7bdb0fa9,2026-09-11 user implementation instruction,Pending,Pending,,,Pending Sunil,Awaiting footage,Not applicable,Not granted,
LC-V4-D22,V4.0.0,daa3e82ecc94f1d0403f6274657f30e3731dbfa3d3b1fc1eb1b74aee5fc33bd2,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Copy only,Not run,Not granted,
LC-V4-D23,V4.0.0,52b702e6ee36348a3b3c43b7d7748e19444f89285497b613fcdec94917d7d553,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Not applicable,Not run,Not granted,
LC-V4-D24,V4.0.0,09f5837f049dc851788de3111e1353678fc4e2c8d6f6ebec0519d32a0d746bd1,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Copy only,Not run,Not granted,
LC-V4-D25,V4.0.0,920c7e79af0b4127d5403c2c1ae27165a5cf86769172153f142dc9c04018e6c5,2026-09-11 user implementation instruction,Pending,Pending,,,Pending Sunil,Awaiting footage,Not applicable,Not granted,
LC-V4-D26,V4.0.0,9ff808a1468a135c0c5c41da9303d3447f74875020fb00cb8616b7433dd0481b,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Copy only,Not run,Not granted,
LC-V4-D27,V4.0.0,2c6002e6713e4a4d9136fdd26f928bfd5d0a13addf06a3fb68f5c08206a005d8,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Not applicable,Not applicable,Not granted,
LC-V4-D28,V4.0.0,6dde9c593c445ebfbd5015549dcdd5252a66e7fca1ce8c504ddcb5f3df398a8a,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Copy only,Not run,Not granted,
LC-V4-D29,V4.0.0,5b758f2defea9c7865d249c46cdbe280a0c480f94ef6b529e0b756a2f078d8ac,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Copy only,Not applicable,Not granted,
LC-V4-D30,V4.0.0,1885a63631aab13cd5cd0aff3c8e320833e397f31f3323d7c320ee2277e850c3,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Copy only,Not run,Not granted,
LC-V4-D31,V4.0.0,36d305f14afea7038d8226db93947e638e9a1a86e33403d8f288a9d26a1bbe34,2026-09-11 user implementation instruction,Pending,Pending,,,Pending Sunil,Awaiting footage,Not run,Not granted,
LC-V4-D32,V4.0.0,77a857f47b98e739b6e6bcd9ca490b370e0e6b09913ed797a2a7aa3e2d4618c5,2026-09-11 user implementation instruction,Pending,Pending,,,Not applicable,Copy only,Not run,Not granted,
