id,topic,account,format,audience,title,purpose,concern,cta,destination,resource_id,batch,source_page,publish_date,published_url,strategy,copy
LC-V4-D16,8,The Living Craft,Carousel,Experienced engineer or technical lead,Introduce evaluation-gates worksheet,Introduce evaluation-gates worksheet,I cannot explain what passing proves,Resource,resource:LC-R02,LC-R02,2,11,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D17,9,Sunil,Written,Experienced engineer or technical lead,User isolation,Demonstrate relevant design judgment,I need to protect private context,Practical question,On-post exercise or discussion,,3,12,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D18,9,The Living Craft,Static,Experienced engineer or technical lead,Explain prerequisites and learning goals,Explain prerequisites and learning goals,I need to protect private context,Apply,https://learning.thelivingcraft.ai,,3,12,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D19,10,Sunil,Carousel,Experienced engineer or technical lead,Deployment,Demonstrate relevant design judgment,A deployment mistake could undo the work,Practical question,On-post exercise or discussion,,3,13,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D20,10,The Living Craft,Carousel,Experienced engineer or technical lead,Introduce deployment checklist,Introduce deployment checklist,A deployment mistake could undo the work,Resource,resource:LC-R03,LC-R03,3,13,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D21,11,Sunil,Video,Experienced engineer or technical lead,Meaningful metrics,Demonstrate relevant design judgment,Usage does not tell me whether it helps,Practical question,On-post exercise or discussion,,3,14,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D22,11,The Living Craft,Static,Experienced engineer or technical lead,Explain progress through work and feedback,Explain progress through work and feedback,Usage does not tell me whether it helps,Explore programme,https://learning.thelivingcraft.ai,,3,14,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D23,12,Sunil,Written,Experienced engineer or technical lead,Delivery channels,Demonstrate relevant design judgment,My manager needs a clear funding decision,Apply,https://learning.thelivingcraft.ai,,3,15,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D24,12,The Living Craft,Carousel,Employer-sponsored individual,Support employer funding decision,Support employer funding decision,My manager needs a clear funding decision,Apply,https://learning.thelivingcraft.ai,,3,15,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D25,13,Sunil,Video,Experienced engineer or technical lead,Changing models,Demonstrate relevant design judgment,A cheaper model might create other costs,Practical question,On-post exercise or discussion,,4,16,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D26,13,The Living Craft,Static,Experienced engineer or technical lead,Explain commitment and independent work,Explain commitment and independent work,A cheaper model might create other costs,Ask about cohort,https://learning.thelivingcraft.ai,,4,16,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D27,14,Sunil,Written,Experienced engineer or technical lead,Silent failures,Demonstrate relevant design judgment,Missing work can be invisible,Practical question,On-post exercise or discussion,,4,17,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D28,14,The Living Craft,Static,Member and enterprise buyer; separate routes,Separate member sponsorship and enterprise,Separate member sponsorship and enterprise,Missing work can be invisible,Choose enquiry route,https://learning.thelivingcraft.ai,,4,17,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D29,15,Sunil,Carousel,Experienced engineer or technical lead,Consent and security,Demonstrate relevant design judgment,I need to understand permission and fit,Practical question,On-post exercise or discussion,,4,18,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D30,15,The Living Craft,Static,Experienced engineer or technical lead,Answer application and fit questions,Answer application and fit questions,I need to understand permission and fit,Apply or enquire,https://learning.thelivingcraft.ai,,4,18,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D31,16,Sunil,Video,Experienced engineer or technical lead,Specialist models,Demonstrate relevant design judgment,I want a learning experience relevant to my decisions,Apply,https://learning.thelivingcraft.ai,,4,19,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
LC-V4-D32,16,The Living Craft,Static,Experienced engineer or technical lead,Invite application or enquiry,Invite application or enquiry,I want a learning experience relevant to my decisions,Apply or enquire,https://learning.thelivingcraft.ai,,4,19,,,Selected 2026-09-11,Complete; factual and exact-asset review pending
